Service Type,Provider Name,Address,City,State,ZipCode,Longitude,Latitude
TANF (cash assistance),DeKalb County DFR - IMPACT,1390 South Grandstaff Drive,Auburn,IN,46706,-85.07137,41.358902
TANF (cash assistance),Franklin County DFR,12050 Saint Mary's Road Suite A,Brookville,IN,47012,-85.018524,39.422497
TANF (cash assistance),Steuben County DFR,202 E. Harcourt Road Suite V,Angola,IN,46703,-84.99634,41.6572
TANF (cash assistance),Jay County DFR,1043 W. Votaw Street,Portland,IN,47371,-84.9925,40.43923
TANF (cash assistance),Randolph County DFR,221 N. Main Street,Winchester,IN,47394,-84.98134,40.173836
TANF (cash assistance),Adams County DFR,1145 Bollman Street,Decatur,IN,46733,-84.936005,40.817616
TANF (cash assistance),Union County DFR,303A N. Main Street,Liberty,IN,47353,-84.93093,39.63832
TANF (cash assistance),Wayne County DFR,50 South 2nd Street,Richmond,IN,47374,-84.898766,39.828346
TANF (cash assistance),Ohio County DFR,308 North High Street Suite B,Rising Sun,IN,47040,-84.8574,38.947567
TANF (cash assistance),Dearborn County DFR,230 Mary Avenue Suite 100,Greendale,IN,47025,-84.85073,39.092354
TANF (cash assistance),Blackford County DFR,1800 N. Walnut Street,Hartford City,IN,47348,-85.3404,40.4662
TANF (cash assistance),Brown County DFR,121 Locust Lane,Nashville,IN,47448,-86.2454,39.2103
TANF (cash assistance),Cass County DFR,1 Cass City Center Suite 301,Logansport,IN,46974,-85.9335,40.9519
TANF (cash assistance),Clark County DFR,285 Quartermaster Court,Jeffersonville,IN,47130,-85.6964,38.3327
TANF (cash assistance),Clark County DFR - IMPACT,285 Quartermaster Court,Jeffersonville,IN,47130,-85.6964,38.3327
TANF (cash assistance),Decatur County DFR,905 W. Keegans Way Suite 3,Greensburg,IN,47240,-85.4783,39.306
TANF (cash assistance),Harrison County DFR,2201 Concord Avenue NW Suite 120,Corydon,IN,47112,-86.1349,38.233
TANF (cash assistance),Jackson County DFR,320 Dupont Drive,Seymour,IN,47274,-85.9377,38.9665
TANF (cash assistance),Jennings County DFR,1171 N. State Street,North Vernon,IN,47265,-85.6376,39.0128
TANF (cash assistance),LaGrange County DFR,826 N. Detroit Street,LaGrange,IN,46761,-85.4227,41.6545
TANF (cash assistance),Madison County DFR,222 E. 10th Street Suite E,Anderson,IN,46016,-85.6758783,40.1066034
TANF (cash assistance),Montgomery County DFR,1633 Eastway Drive,Crawfordsville,IN,47933,-86.8996,40.0243268318986
TANF (cash assistance),Newton County DFR,4117 S. 240 W. Suite 200B,Morocco,IN,47963,-87.4387,40.9376
TANF (cash assistance),Noble County DFR,774 Trail Ridge Rd Suite C,Albion,IN,46701,-85.4184,41.4038
TANF (cash assistance),Putnam County DFR,1020 Avenue F Suite A,Greencastle,IN,46135,-86.84106875,39.6421
TANF (cash assistance),Scott County DFR,1048 W. Community Way,Scottsburg,IN,47170,-85.7982,38.7023
TANF (cash assistance),Shelby County DFR,2565 Parkway Drive Suite 2,Shelbyville,IN,46176,-86.0902,39.5519
TANF (cash assistance),Wells County DFR,915 North Main Street Suite 102,Bluffton,IN,46714,-85.1681525429634,40.7506805068506
